#This should be a tab-delimited file.  Column 1 = cell line name.  Column 2 = ECACC catalogue number.
#Catalouge Numbers ECHC7765001 to ECGC77650107 allocated by ECACC
#ECGC77650108  to ECGC77659999 available for allocation by us
#cell_line	ecacc_catalogue_number
HPSI0115i-qaqp_4	77650512
HPSI0115i-qaqp_5	77650513
HPSI0416i-ruah_5	77650514
HPSI0416i-ruah_4	77650515
HPSI0416i-sevr_1	77650516
HPSI0416i-sevr_2	77650517
HPSI0614i-uevq_6	77650518
HPSI0614i-uevq_4	77650519
HPSI1113i-vuud_2	77650520
HPSI0416i-iooi_1	77650521
HPSI0416i-iooi_6	77650522
HPSI0416i-zige_2	77650523
HPSI0416i-zige_5	77650524
HPSI0516i-zukb_2	77650525
HPSI0516i-zukb_3	77650526
